à		Vit, I, E
bất kỳ		Aa, Jd
bất lợi		Aa
bất luận		Jd
bất lực		Aa
bất lương		Aa
bất mãn		Vit, Aa
bất minh		Aa
bất mục		Aa
bất nghì		Aa
bất nghĩa		Aa
bất ngờ		Aa
bất nhã		Aa
bất nhân		Aa
bất nhẫn		Aa
bất nhất		Aa
bất như ý		Aa
bất nhược		Cc
bất ổn		Aa
bất phân thắng bại		X
bất phương trình		N
bất quá		Jd
bất tài		Aa
bất tận		Aa
bất tất		Ja
bất thành cú		Aa
bất thần		Aa
bất thình lình		Jt
bất thường		Aa
bất tiện		Aa
bất tỉnh		Aa
bất tỉnh nhân sự		Aa
bất trắc		N, Aa
bất trị		Aa
bất túc		Aa
bất tử		Aa
bất tử		Jt
bất tường		Aa
bất ý		Aa
bật		Vt
bật đèn xanh		Vit
bật lò xo		Vit
bật lửa		N, Ng
bật mí		Vit
bâu		N, Vit
bầu		N, Nt, Vt, Aa
bầu bán		Vt
bầu bạn		Ng, Vit
bầu bậu		Aa
bầu bĩnh		Aa
bầu chọn		Vt
bầu chủ		Vit
bầu cử		Vt
bầu dục		N, Ng
bầu đàn thê tử		Np
bầu đoàn		Ng
bầu đoàn thê tử		Np
bầu đông		N, Ng
bầu eo		N, Ng
bầu giác		N, Ng
bầu hâm		N, Ng
bầu không khí		Np
bầu nậm		N, Ng
bầu ngưng		N, Ng
bầu rượu túi thơ		X
bầu sao		N, Ng
bầu trời		N, Ng
bấu		Vt
bấu chí		Vt
bấu véo		Vt
bấu víu		Vt
bấu xén		Vt
bậu		N, Pp, Vt
bây		Vt, Aa
bây bẩy		Jd
bây chừ		Pd
bây giờ		Pd
bây nhiêu		Pn
bầy		Ng
bầy hầy		Aa
bầy nhầy		Aa
bầy tôi		N
bầy trẻ		Ng
bẩy		Nn, Vt
bẫy		N, Ng, Vt
bẫy cò ke		N, Ng
bấy		Pn, Aa
bấy bá		Aa
bấy bớt		Aa
bấy chầy		Pd
bấy chừ		Pd
bấy giờ		Pd
bấy lâu		Pd
bấy nay		Pd
bấy nhiêu		Pn
bậy		Aa
bậy bạ		Aa
BCH		Np
BCT		Np
be		N, Ng, Vt, Aa
be be		Vit
be bé		An
bè		N, Ng, Aa
bè bạn		N, Ng
bè cánh		N, Ng
bè đảng		N, Ng
bè lũ		N, Ng
bè nhè		Vit, Aa
bè phái		N, Ng, Aa
bè tòng		Ng
bẻ		Vt
bẻ bai		Vt
bẻ bai		Aa
bẻ bão		Vit
bẻ cò		Vit
bẻ ghi		Vit
bẻ hành bẻ tỏi		Vit
bẻ hoẹ		Vit
bẻ khục		Vt
bẻ lái		Vit
bẽ		Aa
bẽ bàng		Aa
bé		N, An
bé bỏng		Aa
bé cái lầm		Vit
bé con		N, Ng
bé dại		Aa
bé hạt tiêu		Aa
bé nhỏ		An
bé xé ra to		X
bẹ		N
béc giê		N, Ng
becgiê		Np
becjê		Np
bem		N, Aa
bẻm		Aa
ben-den		Np
bèn		Jr, Jt
bèn bẹt		Aa
bẽn lẽn		Aa
bén		Vt, Aa
bén gót		Vtc
bén mảng		Vit
bén ngót		Aa
bẹn		N, Ng
beng		Vt
béng		Jr, Jt
benzen		Np
beo		N, Ng, Vt, Aa
beo béo		Aa 
bèo		N, Ng
bèo bọt		N, Ng
bèo cái		N, Ng
bèo cám		N, Ng
bèo dâu		N, Ng
bèo hoa dâu		N, Ng
bèo lục bình		N, Ng
bèo Nhật Bản		N, Ng
bèo nhèo		Aa
bèo ong		N, Ng
bèo tấm		N, Ng
bèo tây		N, Ng
bẻo lẻo		Aa
béo		Vt, Aa
béo bở		Aa
béo mỡ		Aa
béo múp		Aa
béo núc		Aa
béo nung núc		Aa
béo quay		Aa
béo tốt		Aa
bẹo		Vt
bép xép		Vit
bẹp		An
bét		Vit, Aa
bét be		Aa
bét nhè		Aa
bét tĩ		Aa
bẹt		An
beta		Np
bê		N, Vt
bê bê		Aa
bê bết		Aa
bê bối		Aa
bê rê		N, Ng
bê-ta		Np
bê tha		Vt, Aa
bê tông		X
bê trễ		Vt
bê trệ		Vt
bề		Nl
bề bề		Aa
bề bộn		Aa
bề dưới		Nl
bề mặt		Nl
bề nào cũng		X
bề ngoài		Nl
bề thế		N, An
bề tôi		N
bề trên		Nl
bể		N, Ng, Vt
bể bơi		N, Ng
bể cạn		N, Ng
bể dâu		N
bể khổ		N
bể phốt		N, Ng
bễ		N
bế		Vt
bế bồng		Vt
bế giảng		Vit
bế kinh		Vit
bế mạc		Vt
bế quan toả cảng		Vit
bế tắc		Aa
bệ		N, Ng, Vt
bệ hạ		N
bệ kiến		Vt
bệ ngọc		N, Ng
bệ phóng		N, Ng
bệ rạc		Aa
bệ rồng		N, Ng
bệ tì		N, Ng
bệ vệ		Aa
bệch		Aa
bệch bạc		Aa
bên		Nl
bên bị		N
bên nguyên		N
bền		Aa
bền bỉ		Aa
bền chặt		Aa
bền chí		Aa
bền gan		Aa
bền lòng		Aa
bền vững		Aa
bển		Pd
bến		N, Ng
bến bờ		N, Ng
bến lội		N, Ng
bến nước		N, Ng
bến tàu		N, Ng
bến vượt		N, Ng
bến xe		N, Ng
bện		Vt
bênh		Vt
bênh		Vt
bênh bè		Vit
bênh vực		Vt
bềnh		Vit
bềnh bệch		Aa
bềnh bồng		Vit
bệnh		N, Aa
bệnh án		N, Ng
bệnh bạch cầu		N
bệnh binh		N, Ng
bệnh căn		N
bệnh chứng		N
bệnh hoạn		N, Aa
bệnh kín		N
bệnh lí		N
bệnh lí học		N
bệnh lịch		N
bệnh lý		N
bệnh lý học		N
bệnh nghề nghiệp		N
bệnh nhân		N, Ng
bệnh nhi		N
bệnh phẩm		N, Ng
bệnh sĩ		N
bệnh sử		N
bệnh tâm thần		N
bệnh tật		N, Aa
bệnh thời khí		N
bệnh tình		N
bệnh trạng		N
bệnh tưởng		N
bệnh viện		N, Ng
bệnh xã hội		N
bệnh xá		N, Ng
bếp		N, Ng
bếp		N, Ng
bếp núc		N, Ng
bếp nước		N, Ng
bêrê		Np
bết		Vt
bết		Aa
bệt		Jd, Aa
bêta		Np
bêtông		Np
bêtông cốt sắt		N, Ng
bêtông cốt thép		N, Ng
bêu		Vt, Aa
bêu diếu		Vt
bêu nắng		Vit
bêu riếu		Vt
bều bệu		Aa
bệu		Aa
bệu bạo		Vit
bệu rệch		Aa
bi		N, Aa
bi-a		N, Ng
bi ai		Aa
bi ba bi bô		Vit
bi bô		Vit
bi ca		N
bi cảm		Vt, Vim, Vtim
bi chí		N
bi da		N, Ng
bi đát		Aa
bi đông		Np
bi hài kịch		N
bi hoan		Aa
bi hùng		Aa
bi khúc		N
bi kí		N
bi kịch		N
bi ký		N
bi luỵ		Aa
bi quan		Aa
bi thảm		Aa
bi thiết		Aa
bi thương		Aa
bi tráng		Aa
bi-tum		Np
bì		N, Vtc, Aa
bì bà bì bõm		Vit
bì bẹt		Aa
bì bõm		Vit
bì khổng		N, Ng
bì sì		Aa
bì sị		Aa
bì thư		N, Ng
bỉ		N, Ng, Vt, Vim, Vtim
bỉ bạc		Vt, Vim, Vtim
bỉ báng		Vt, Vim, Vtim
bỉ nhân		N
bỉ ổi		Aa
bỉ thử		Vitc
bĩ		Aa
bĩ cực thái lai		X
bí		N, Aa
bí ẩn		N, Aa
bí bách		Aa
bí beng		Aa
bí bét		Aa
bí danh		N
bí đao		N, Ng
bí đỏ		N, Ng
bí hiểm		Aa
bí mật		N, Aa
bí mật nhà nghề		N
bí ngô		N, Ng
bí phấn		N, Ng
bí quyết		N
bí rì		Aa
bí rợ		N, Ng
bí số		N
bí thơ		N
bí thuật		N
bí thư		N
bí thư thứ nhất		N
bí tỉ		Aa
bí truyền		Aa
bí tử		Ng
bí ử		N, Ng
bị		N, Vta
bị can		N, Ng
bị cáo		N, Ng
bị chú		Vt
bị động		Aa
bị đơn		N, Ng
bị gậy		Ng
bị sị		Aa
bị thịt		N
bị thương		Vit, Va
bị trị		Vit
bị vong lục		N, Ng
bia		N
bia bọt		N, Ng
bia đỡ đạn		N, Ng
bia hơi		N, Ng
bia miệng		N
bia tươi		N, Ng
bìa		N, Ng
bìa giả		N, Ng
bìa trong		N, Ng
bịa		Vt
bịa đặt		Vt
bích		N
bích báo		N, Ng
bích cốt		N
bích hoạ		N, Ng
bích ngọc		N, Ng
bích qui		N, Ng
bích quy		N, Ng
bịch		N, Ng, Vt
bichcôt		Np
bichquy		N, Ng
bida		N, Ng
biđông		N, Ng
biếc		Aa
biếm hoạ		N, Ng
biên		N, Vt
biên ải		N, Ng
biên bản		N, Ng
biên cảnh		Nl
biên chép		Vt
biên chế		N, Vit
biên cương		N, Ng
biên dạng		N
biên dịch		Vt
biên đạo		Vt
biên độ		N
biên đội		N, Ng
biên giới		N, Ng
biên khảo		Vit
biên khu		N, Ng
biên lai		N, Ng
biên mậu		N
biên nhận		Vt
biên niên		Aa
biên phòng		Vit
biên soạn		Vt
biên tập		Vt
biên tập viên		N, Ng
biên thuỳ		N, Ng
biên uỷ		N, Ng
biền		N
biền biệt		Aa
biền ngẫu		N
biền thể		N
biền văn		N
biển		N, Ng
biển báo		N, Ng
biển cả		N, Ng
biển hồ		N, Ng
biển lận		Aa
biển ngắm		N, Ng
biển thủ		Vt
biến		N, Vtb, Vitb, Jd
biến ảo		Vitb, Aa
biến áp		N, Ng
biến âm		N, Vitb
biến báo		Vit
biến cách		Vit
biến cách		Vit
biến cải		Vtb
biến chất		Vitb
biến chế		Vt
biến chuyển		N, Vit
biến chứng		N, Vit
biến cố		N
biến dạng		N, Vit
biến dị		N, Vit
biến diễn		Vit
biến điệu		Vit
biến đổi		N, Vtb
biến động		N, Vit
biến hình		Vit
biến hoá		Vtb
biến loạn		Vit
biến sắc		Vitb
biến số		N
biến tấu		Vit
biến thái		N
biến thể		N
biến thế		N, Ng, Vit
biến thế tự ngẫu		N, Ng
biến thiên		N, Vit
biến tính		Vitb
biến tốc		Vit
biến trở		N, Ng
biến tướng		N, Vit
biện		Vt
biện bác		Vit
biện bạch		Vt
biện biệt		Vt
biện chứng		Aa
biện chứng pháp		N
biện hộ		Vit
biện lí		N, Ng
biện luận		Vit
biện lý		N, Ng
biện minh		Vit
biện pháp		N
biếng		Aa
biếng nhác		Aa
biết		Vt, Vim, Vtim
biết bao		Jd
biết bao nhiêu		Jd
biết chừng nào		Jd
biết đâu		Jd
biết đâu chừng		Jd
biết đâu đấy		Jd
biết điều		Aa
biết mấy		Jd
biết người biết của		Vit
biết ơn		Vt
biết tay		Vt
biết thân		Vit
biết thóp		Vt
biết tỏng		Vt
biết tỏng tòng tong		Vit
biệt		Vt, Aa
biệt danh		N
biệt dược		N, Ng
biệt đãi		Vt
biệt động		Aa
biệt động đội		N, Ng
biệt động quân		N, Ng
biệt hiệu		N
biệt kích		N, Ng, Vit
biệt lập		Vit
biệt lệ		N
biệt li		Vit
biệt ly		Vit
biệt mù		Aa
biệt phái		Vt
biệt phái		Aa
biệt tài		N, Aa
biệt tăm		Aa
biệt tăm biệt tích		Aa
biệt thự		N, Ng
biệt tích		Aa
biệt tịch		Aa
biệt vô âm tín		Aa
biệt xứ		Aa
biểu		N, Vt
biểu bì		N, Ng
biểu cảm		Vit
biểu diễn		Vt
biểu dương		Vt
biểu đạt		Vt
biểu đồ		N, Ng
biểu đồng tình		Vit
biểu hiện		N, Vt
biểu kiến		Aa
biểu lộ		Vt
biểu mẫu		N, Ng
biểu ngữ		N, Ng
biểu quyết		Vit
biểu thị		Vt
biểu thức		N, Ng
biểu tình		Vit
biểu trưng		N, Ng, Vit
biểu tượng		N, Ng
biếu		Vt
biếu xén		Vt
bìm		N
bìm bìm		N, Ng
bìm bịp		N, Ng
bím		N
bin		N
bin-đinh		N, Ng
bịn rịn		Vt
binđinh		N, Ng
binh		Ng, Vt
binh bị		Ng
binh biến		N
binh cách		N
binh chế		N
binh chủng		N, Ng
binh công xưởng		N, Ng
binh cơ		N
binh dịch		N
binh đao		N, Ng
binh đoàn		N, Ng
binh đội		N, Ng
binh gia		N, Ng
binh hoả		N, Ng
binh khí		N, Ng
binh lính		N, Ng
binh lửa		N
binh lực		N
binh lương		Ng
binh mã		N, Ng
binh nghiệp		N
binh nhất		N, Ng
binh nhì		N, Ng
binh nhu		N, Ng
binh nhung		N, Ng
binh pháp		N, Ng
binh phí		N, Ng
binh phục		N, Ng
binh quyền		N
binh sĩ		N, Ng
binh thư		N, Ng
binh tình		N
binh trạm		N, Ng
binh vận		Vit
bình		N, Ng, Vt, Aa
bình an		Aa
bình bản		N
bình bán		N
bình bát		N, Ng
bình bầu		Vt
bình bịch		N, Ng
bình bồng		Aa
bình cầu		N, Ng
bình chân		Aa
bình chân như vại		Aa
bình chọn		Vt
bình chú		Vt
bình công		Vit
bình công chấm điểm		Vit
bình cũ rượu mới		X
bình dân		N, Aa
bình dân học vụ		N
bình dị		Aa
bình diện		N
bình đẳng		Aa
bình địa		N, Ng
bình địa ba đào		X
bình điện		N, Ng
bình định		Vt
bình đồ ảnh		N, Ng
bình giá		Vt
bình lặng		Aa
bình luận		Vt
bình luận viên		N, Ng
bình minh		N
bình nghị		Vt
bình nguyên		N, Ng
bình ngưng		N, Ng
bình nhật		N
bình ổn		Vit
bình phẩm		Vtc
bình phong		N, Ng
bình phục		Vt
bình phương		N, Vit
bình quân		Aa
bình quyền		Aa
bình sai		Vit
bình sinh		N
bình tâm		Vit
bình thản		Aa
bình thông nhau		N, Ng
bình thời		N
bình thuỷ		N, Ng
bình thường		Aa
bình thường hoá		Vt
bình tích		N, Ng
bình tĩnh		Aa
bình toong		N, Ng
bình tuyển		Vt
bình vôi		N, Ng
bình xét		Vt
bình xịt		N, Ng
bình yên		Aa
bỉnh bút		N
bĩnh		Vit
bính		N, Aa
bịnh		N
bíp tết		N, Ng
bịp		Vt
bịp bợm		Aa
biptêt		Np
birr		Np
bis		Aa
bismut		Np
bismuth		Np
bít		Nu, Vt
bít cốt		N
bít đốc		N
bít-mút		Np
bít tất		N, Ng
bít tất tay		N, Ng
bịt		Vt
bịt bùng		Aa
bịt mắt bắt dê		N
bitcôt		Np
bitum		Np
bìu		N
bìu dái		N, Ng
bìu díu		Vt
bĩu		Vt
bíu		Vt
bloc		Np
blốc		Np
blu		Np
blu dông		Np
bludông		Np
bo		Vt
bo bíu		Vt
bo bo		N, Ng, Aa
bo siết		Vt
bò		N, Ng, Vit
bò cạp		N, Ng
bò lê bò càng		Vit
bò lê bò la		Vit
bò sát		N, Ng
bò tót		N, Ng
bò u		N, Ng
bỏ		Vt
bỏ bà		Vit
bỏ bê		Vt
bỏ bễ		Vt
bỏ bố		Vit
bỏ cha		Vit
bỏ cuộc		Vit
bỏ đời		Vit
bỏ hoang		Vit
bỏ lửng		Vit
bỏ mạng		Vit
bỏ mẹ		Vit
bỏ mình		Vit
bỏ mối		Vit
bỏ mứa		Vit
bỏ ngỏ		Vit
bỏ ngoài tai		Vit
bỏ ngũ		Vit
bỏ nhỏ		Vit
bỏ phiếu		Vt
bỏ qua		Vt
bỏ quá		Vit
bỏ rẻ		Vit
bỏ rơi		Vt
bỏ thăm		Vt
bỏ thây		Vit
bỏ thì thương vương thì tội		X
bỏ tù		Vit
bỏ túi		Vit
bỏ vật bỏ vạ		Vit
bỏ xác		Vit
bỏ xó		Vit
bỏ xừ		Vit
bõ		N, Ng, Vt, Aa
bõ bèn		Vit, Aa
bõ già		N, Ng
bó		N, Nu, Vt
bó buộc		Vt
bó cẳng		Vit
bó chiếu		Vit
bó giáp		Vit
bó giò		Vit
bó gối		Vit
bó hẹp		Vt
bó rọ		Vit
bó tay		Vit
bó trát		Vit
bó tròn		Vit
bọ		N, Ng
bọ cạp		N, Ng
bọ chét		N, Ng
bọ chỉ đào		N, Ng
bọ chỉ hồng		N, Ng
bọ chó		N, Ng
bọ chó múa bấc		X
bọ dím		N, Ng
bọ dừa		N, Ng
bọ đa		N, Ng
bọ gạo		N, Ng
bọ gậy		N, Ng
bọ hà		N, Ng
bọ hung		N, Ng
bọ lá		N, Ng
bọ mát		N, Ng
bọ mạt		N, Ng
bọ mắm		N, Ng
bọ mò		N, Ng
bọ nẹt		N, Ng
bọ ngựa		N, Ng
bọ nhảy		N, Ng
bọ phấn		N, Ng
bọ que		N, Ng
bọ quít		N, Ng
bọ quýt		N, Ng
bọ rầy		N, Ng
bọ rầy xanh		N, Ng
bọ rùa		N, Ng
bọ trĩ		N, Ng
bọ vừng		N, Ng
bọ xít		N, Ng
boa		N
bobin		Np
bóc		Vt
bóc áo tháo cày		Vit
bóc đất đá		Vit
bóc lột		Vt
bóc ngắn cắn dài		Vit
bóc trần		Vt
bọc		N, Nu, Vt
bọc hậu		Vit
bói		Vit
bói cá		N, Ng
bói đâu ra		Vt
bói không ra		Vt
bói toán		Vit
bolivar		Np
boliviano		Np
bom		N, Ng
bom ba càng		N, Ng
bom bay		N, Ng
bom bê		Aa
bom bi		N, Ng
bom bươm bướm		N, Ng
bom chìm		N, Ng
bom đạn		N, Ng
bom H		N, Ng
bom hoá học		N, Ng
bom khinh khí		N, Ng
bom lân tinh		N, Ng
bom na pan		N, Ng
bom napalm		N, Ng
bom napan		N, Ng
bom nguyên tử		N, Ng
bom nổ chậm		N, Ng
bom phóng		N, Ng
bom thư		N, Ng
bom từ trường		N, Ng
bỏm bẻm		Aa
bombê		Aa
bon		Vit, Aa
bon chen		Vt
bon sê vích		Np
bòn		Vt
bòn bon		N, Ng
bòn chài		Vit
bòn đãi		Vt
bòn mót		Vt
bòn rút		Vt
bón		Vt, Aa
bón đón đòng		Vit
bón lót		Vit
bón thúc		Vit
bọn		Ng
bong		Vt
bong bóng		N, Ng
bong gân		Vit
bòng		N, Ng
bòng bong		N, Ng
bỏng		N, Aa
bỏng rạ		N
bóng		N, Ng, Aa
bóng bàn		N, Ng
bóng bán dẫn		N, Ng
bóng bay		N, Ng
bóng bảy		Aa
bóng bẩy		Aa
bóng bì		N, Ng
bóng chuyền		N, Ng
bóng dáng		N, Ng
bóng đá		N, Ng
bóng đái		N, Ng
bóng đè		N
bóng điện		N, Ng
bóng điện tử		N, Ng
bóng gió		Aa
bóng láng		Aa
bóng loáng		Aa
bóng lộn		Aa
bóng ma		N, Ng
bóng mát		N, Ng
bóng ném		N, Ng
bóng nhoáng		Aa
bóng nửa tối		N
bóng nước		N, Ng
bóng nước		N, Ng
bóng râm		N, Ng
bóng rổ		N, Ng
bóng thám không		N, Ng
bóng tối		N
bóng tròn		N, Ng
bóng vía		N
bọng		N
bọng		N
bọng đái		N, Ng
bonsevich		Np, Aa
boong		N, Ng, Aa
boong ke		N, Ng
boóng		Aa
boongke		N, Ng
bóp		N, Ng, Vt
bóp bụng		Vt, Vim, Vtim
bóp chắt		Vt
bóp chẹt		Vt
bóp chết		Vt
bóp cổ		Vt
bóp hầu bóp cổ		Vt
bóp họng		Vt
bóp méo		Vt
bóp miệng		Vit
bóp mồm		Vit
bóp mũi		Vt
bóp nặn		Vt
bóp nghẹt		Vt
bóp óc		Vt
bóp trán		Vt
bót		N, Ng
bọt		N, Ng
bọt bèo		N, Ng
bọt biển		N, Ng
box		Np
bô		N, Ng
bô báo		Vt
bô bin		N
bô bô		Aa
bô đê		Vit
bô lão		N, Ng
bô lô ba la		Aa
bồ		N
bồ bịch		N
bồ bịch		N
bồ bồ		N
bồ các		N, Ng
bồ cào		N, Ng
bồ câu		N, Ng
bồ chao		N, Ng
bồ côi		Aa
bồ công anh		N, Ng
bồ cu vẽ		N, Ng
bồ đài		N, Ng
bồ đề		N, Ng
bồ hòn		N, Ng
bồ hóng		N, Ng
bồ hôi		N, Ng
bồ kếp		N, Ng
bồ kết		N, Ng
bồ liễu		N, N
bồ ngắm		N, Ng
bồ ngót		N, Ng
bồ nhí		N, Ng
bồ nhìn		N, Ng
bồ nông		N, Ng
bồ quân		N, Ng
bồ sứt cạp		N
bồ tát		N
bồ tạt		N
bổ		Vt, Aa
bổ bán		Vt
bổ báo		Vt
bổ chính		Vit
bổ chửng		Vit
bổ củi		N, Ng
bổ cứu		Vit
bổ di		Vit
bổ dụng		Vt
bổ dưỡng		Vt
bổ đề		N
bổ huyết		Aa
bổ ích		Aa
bổ khuyết		Vit
bổ ngữ		N
bổ nhào		Vit
bổ nháo		Vit
bổ nháo bổ nhào		Vt
bổ nhậm		Vt
bổ nhiệm		Vt
bổ sấp bổ ngửa		Vit
bổ sung		Vt
bổ trợ		Vt
bổ trụ		Vit
bổ túc		Vt
bổ túc văn hoá		Vit
bỗ bã		Aa
bố		N, Vit
bố cáo		N, Vt
bố chánh		N, Ng
bố chính		N, Ng
bố cục		N, Vit
bố dượng		N, Ng
bố già		N, Ng
bố láo		Aa
bố láo bố lếu		Aa
bố lếu		Aa
bố lếu bố láo		Aa
bố phòng		Vit
bố thí		Vt
bố tời		N, Ng
bố trí		Vt
bộ		Nu, Ng, N
bộ bánh cóc		N, Ng
bộ binh		N, Ng
bộ cánh		N, Ng
bộ chế hoà khí		N, Ng
bộ chỉ huy		N, Ng
bộ chính trị		N, Ng
bộ chương trình chuyên dụng		N, Ng
bộ dạng		N
bộ điều giải		N, Ng
bộ điệu		N
bộ đồ		N, Ng
bộ đội		N, Ng
bộ đội chủ lực		N, Ng
bộ đội địa phương		N, Ng
bộ gõ		N, Ng
bộ hạ		N, Ng
bộ hành		N, Ng, Vit
bộ khuếch đại		N, Ng
bộ lạc		N, Ng
bộ li dầu		N, Ng
bộ li hợp		N, Ng
bộ luật		N, Ng
bộ ly dầu		N, Ng
bộ ly hợp		N, Ng
bộ máy		N, Ng
bộ mặt		N, Ng
bộ mặt hàng		Ng
bộ môn		N, Ng
bộ não		N, Ng
bộ nhớ		N, Ng
bộ nhớ chết		N, Ng
bộ nhớ sống		N, Ng
bộ óc		N, Ng
bộ phận		N, Ng, Aa
bộ sậu		N, Ng
bộ sấy hơi		N, Ng
bộ tịch		N
bộ tộc		N, Ng
bộ tổng tư lệnh		N, Ng
bộ trưởng		N, Ng
bộ tư lệnh		N, Ng
bộ tướng		N, Ng
bộ vạc		N, Ng
bộ vạt		N, Ng
bộ vi xử lí		N, Ng
bộ vi xử lý		N, Ng
bộ vị		N
bộ xử lí		N, Ng
bộ xử lý		N, Ng
bôbin		Np
bốc		N, N, Vt
bốc bải		Vit
bốc dỡ		Vt
bốc đồng		Vit
bốc giời		Vit
bốc hoả		Vit
bốc hơi		Vtb
bốc lửa		Aa
bốc phét		Vit
bốc rời		Vt
bốc trời		Vit
bốc vác		Vt
bốc xếp		Vt
bộc bạch		Vt
bộc lộ		Vt
bộc lôi		N, Ng
bộc phá		N, Ng, Vt
bộc phát		Vit
bộc trực		Aa
bộc tuệch		Aa
bộc tuệch bộc toạc		Aa
bôđê		Vit
bôi		Vt
bôi bác		Vt
bôi đen		Vt
bôi gio trát trấu		Vit
bôi nhọ		Vt
bôi tro trát trấu		Vit
bôi tro trét trấu		Vit
bôi trơn		Vt
bồi		N, Ng, Vt
bồi bàn		N, Ng
bồi bếp		N, Ng
bồi bổ		Vt
bồi bút		N, Ng
bồi dưỡng		Vt
bồi đắp		Vt
bồi hoàn		Vt
bồi hồi		Vitim, Aa
bồi khoản		N, Ng
bồi lấp		Vt
bồi phòng		N, Ng
bồi tế		N, Ng
bồi thẩm		N, Ng
bồi thần		N, Ng
bồi thường		Vt
bồi tích		Ng
bồi trúc		Vt
bồi tụ		Vt
bổi		Ng
bổi hổi		Vitim, Aa
bổi hổi bồi hồi		Vitim, Aa
bối		N, Nt
bối cảnh		N
bối rối		Vitim, Aa
bội		Vt, Aa
bội bạc		Aa
bội chi		Vit
bội chi ngân sách		N
bội chi tiền mặt		N
bội chung		N
bội nghĩa		Vit
bội nghịch		Vit
bội nhiễm		Vit
bội ơn		Vit
bội phản		Vit
bội phần		Jd
bội số		N
bội số chung		N
bội thu		Vit
bội thực		Vit
bội tín		Vit
bội tinh		N, Ng
bội tình		Vit
bội ước		Vit
bôn		Vit
bôn ba		Vit
bôn hành		Vit
bôn sê vích		N
bôn tập		Vit
bôn tẩu		Vit
bôn xu		Vit
bồn		N, Ng, Vit
bồn binh		N, Ng
bồn chồn		Vitim, Aa
bổn		X
bổn phận		N
bốn		Nn
bốn bể		Ng
bốn biển		Ng
bốn dài hai ngắn		N, Ng
bốn mươi		Nn

bốn phương		Ng
bốn phương tám hướng		Ng
bộn		Aa
bộn bề		Aa
bộn rộn		Aa
bông		N, Ng, Vit
bông đá		N, Ng
bông đùa		Vit
bông gòn		N, Ng
bông lông		Aa
bông lơn		Vit
bông phèng		Vit
bông tai		N, Ng
bông thấm nước		N, Ng
bông thùa		N, Ng
bông tiêu		N, Ng
bồng		N, Vt, Aa
bồng bế		Vt
bồng bềnh		Vit
bồng bồng		N
bồng bột		Aa
bồng lai		N
bồng mạc		N
bồng súng		Vit
bổng		N, Aa
bổng lộc		N
bổng ngoại		N
bỗng		N, Aa, Jt
bỗng chốc		Jt
bỗng dưng		Jt, Jr
bỗng đâu		Jt, Jr
bỗng không		Jt, Jr
bỗng nhiên		Jt, Jr
bống		N
bộng		N
bônsêvich		N
bốp		Vit, Aa
bốp chát		Vit
bộp		N
bộp chộp		Aa
bốt		N, Ng
bột		N, Ng
bột giấy		N, Ng
bột kẽm		N, Ng
bột khởi		Vit
bột mài		N, Ng
bột phát		Vit
bột tan		N, Ng
bơ		N, Ng, Aa
bơ lơ		Aa
bơ phờ		Aa
bơ thờ		Aa
bơ thừa sữa cặn		X
bơ vơ		Aa
bờ		N, Ng
bờ bến		N, Ng
bờ bụi		N, Ng
bờ cõi		N, Ng
bờ giậu		N, Ng
bờ khoảnh		N, Ng
bờ lu		N, Ng
bờ lu dông		N, Ng
bờ mỏ		N, Ng
bờ quai		N, Ng
bờ rào		N, Ng
bờ thửa		N, Ng
bờ vùng		N, Ng
bờ xôi ruộng mật		Np
bở		Aa
bở hơi tai		Aa
bở vía		Aa
bỡ ngỡ		N, Aa
bớ		E
bợ		Vt
bợ đít		Vt
bợ đỡ		Vt
bơi		N, Vit
bơi bướm		Vit
bơi chó		Vit
bơi dai sức		Vit
bơi ếch		Vit
bơi lội		Vit
bơi nhái		Vit
bơi sải		Vit
bơi trải		Vit
bời		Aa
bời lời		N, Ng
bởi		Cm
bởi chưng		Cm
bởi thế		Cm
bởi vậy		Cm
bởi vì		Cm
bới		N, Nt, Vt
bới		N, Nt, Vt
bới bèo ra bọ		X
bới lông tìm vết		X
bới móc		Vt
bơm		N, Ng, Vt
bơm chân không		N, Ng
bờm		N, Ng
bờm xơm		Vit
bờm xờm		Aa
bợm		N, Ng, Aa
bợm bãi		N, Ng, Aa
bợm già		N, Ng
bơn		N
bỡn		Vit
bỡn cợt		Vit
bợn		N, Ng, Aa
bớp		Vt
bợp		Vt
bớt		N, Ng, Vt
bớt miệng		Vit
bớt mồm bớt miệng		Vit
bớt xén		Vt
bớt xớ		Vt, Vit
bợt		Aa
bợt bạt		Aa
Br		Np
bro-mua		Np
brom		Np
bromua bạc		Np
bromur bạc		Np
BS		Np
bu		N, Ng, Vit
bu-gi		N, Ng
bu lông		N, Ng
bu lu		N, Ng
bù		Vt
bù		Aa
bù chì		Vit
bù đắp		Vt
bù đầu		Vit
bù giá		Vit
bù khú		Vt
bù loong		N, Ng
bù lỗ		Vit
bù lu bù loa		Vit
bù nhìn		N, Ng
bù trì		Vit
bù trừ		Vt
bù xù		Aa
bủ		N
bú		Vit
bú dù		N, Ng
bú mớm		Vit
bụ		Aa
bụ bẫm		Aa
bụ sữa		Aa
bua		N
bùa		N, Ng
bùa bả		N, Ng
bùa chú		N, Ng
bùa cứu mạng		N, Ng
bùa hộ mệnh		N, Ng
bùa hộ thân		N, Ng
bùa yêu		N, Ng
bủa		N, Vt
bủa vây		Vt
búa		N, Ng
